"","sub_id","groupID","studyID","group_cond","trial","img","txt","clean_text"
"21","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",15,11,"A N ACTOR IN A BOXING SCENE","a n actor in a boxing scene"
"22","AU2RWXFODEMTE",7,"id-uwffo-7","reapp",2,14,"A PLANE ACCIDENT","a plane accident"
"23","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",10,17,"A SCENE FROM A VIOLENT MOVIE","a scene from a violent movie"
"24","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",14,12,"A STUNT DRIVER IN A MOVIE","a stunt driver in a movie"
"25","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",11,20,"A WOMAN SAVED FROM A BURN DEATH","a woman saved from a burn death"
"26","A219VCQZADQ45W",12,"id-ngahz-2999","reapp",13,5,"A WOMAN WITH MESSED UP MAKEUP","a woman with messed up makeup"
"27","A2B9OD2O9CJNC0",6,"id-uwffo-23","control",15,5,"A Woman with affected eye felt bad about that.","a woman with affected eye felt bad about that"
"28","A2XQVNF7ZABUQZ",7,"id-eiwzx-3000","reapp",7,1,"A baby being bathed","a baby being bathed"
"29","A1J34VHWNFN1GF",4,"id-bbyjt-2997","reapp",1,1,"A baby being saved","a baby being saved"
"30","A3415FKWLN1BEM",1,"id-uwffo-19","control",11,1,"A baby being washed while obviously neeeding some medical attention. Feel sad for the kid.","a baby being washed while obviously neeeding some medical attention feel sad for the kid"
"31","A29X3P3FRMWJOT",14,"id-uwffo-2","reapp",19,1,"A baby born early but a baby that has survived and thrived, a chance at","a baby born early but a baby that has survived and thrived a chance at"
"32","A1FWHWZONTCAEN",4,"id-uwffo-24","control",6,8,"A baby born premature perhaps I can't really tell but it appears to be in pain and I hate this image","a baby born premature perhaps i cant really tell but it appears to be in pain and i hate this image"
"33","A1FWHWZONTCAEN",4,"id-uwffo-24","control",6,1,"A baby born premature perhaps I can't really tell but it appears to be in pain and I hate this image","a baby born premature perhaps i cant really tell but it appears to be in pain and i hate this image"
"34","ALAOEYIYW0CW7",8,"id-eiwzx-3000","reapp",20,1,"A baby born prematurely, I hope he has a wonderful future.","a baby born prematurely i hope he has a wonderful future"
"35","A3NRIEMOJVVX4A",25,"20220203-motivated_group_emotional_regulation","control",9,1,"A baby getting a bath.","a baby getting a bath"
"36","A3NRIEMOJVVX4A",25,"20220203-motivated_group_emotional_regulation","control",9,2,"A baby getting a bath.","a baby getting a bath"
"37","A1R0DIJHIE1LOC",4,"id-thggi-2996","reapp",15,1,"A baby has been born","a baby has been born"
"38","A3AU8PZ6HHBCVT",5,"id-fjoxq-2997","reapp",15,7,"A baby healing from an injury but will be okay.","a baby healing from an injury but will be okay"
"39","A1L8PCLEYNHEEY",7,"id-giakt-2998","reapp",17,1,"A baby is born! I wonder if this is a home birth?","a baby is born i wonder if this is a home birth"
"40","A1MSS8RZGCLV8U",10,"id-uwffo-3","reapp",17,1,"A baby is enjoying his first bath","a baby is enjoying his first bath"
"41","AS2Q6X6UJD1RY",8,"id-eiwzx-3000","reapp",1,1,"A baby is getting a small bath and has acheived life","a baby is getting a small bath and has acheived life"
"42","AKRD60WVX2YBH",8,"id-mspuo-3000","reapp",16,1,"A baby is very sick. The baby is getting a bath.","a baby is very sick the baby is getting a bath"
"43","A1VNFD1E3B4RU5",2,"id-eiwzx-2997","reapp",6,1,"A baby just born is getting their first bath. They are alive and healthy.","a baby just born is getting their first bath they are alive and healthy"
"44","AT6LDQNLKTUSE",7,"id-thggi-2999","reapp",9,1,"A baby survives the birth.","a baby survives the birth"
"45","A1KMF5C9TJV3OI",1,"id-uwffo-2","reapp",18,7,"A baby that was involved in a situation being bandaged up, he's ok thoguh","a baby that was involved in a situation being bandaged up hes ok thoguh"
"46","ANRK2N0BB7HOW",1,"id-eiwzx-1806","reapp",3,1,"A baby was born and got an early start.","a baby was born and got an early start"
"47","AFEPFMO9863WA",1,"id-ngahz-2997","reapp",20,1,"A baby was just delivered","a baby was just delivered"
"48","A1R0DIJHIE1LOC",4,"id-thggi-2996","reapp",8,7,"A baby was wounded in","a baby was wounded in"
"49","A3FAQHVPI8OUP0",8,"id-uwffo-26","control",18,19,"A bad accident, i don't think many would survive that","a bad accident i dont think many would survive that"
"50","A20PE86B4RBAZC",3,"id-uwffo-5","reapp",2,17,"A bad accident, this person deserves privacy as much as possible and respenc","a bad accident this person deserves privacy as much as possible and respenc"
"51","A3QVY4E012ZX98",6,"id-giakt-2998","reapp",12,19,"A bad car crash, with car upside down and crushed,","a bad car crash with car upside down and crushed"
"52","A2M2U7XUBA4CAN",3,"empty","control",12,4,"A bad disease?","a bad disease"
"53","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",17,4,"A bad looking reaction to s","a bad looking reaction to s"
"54","A3V4YAV6AG5RTL",1,"id-thggi-2999","reapp",1,17,"A bad person no lo","a bad person no lo"
"55","A2TGHPIJ98QSKJ",10,"id-thggi-2997","reapp",19,17,"A bad scene of an apparent murder","a bad scene of an apparent murder"
"56","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",14,19,"A bamboo in lips","a bamboo in lips"
"57","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",14,13,"A bamboo in lips","a bamboo in lips"
"58","A31TXJQH5S8SVQ",6,"id-uwffo-18","control",19,6,"A battered wife is always so sad to see. I hope she gets out.","a battered wife is always so sad to see i hope she gets out"
"59","A2GIT09BQEUM9M",4,"id-bvwuk-3000","reapp",1,1,"A beautiful baby was born. and is now alive in this world.","a beautiful baby was born and is now alive in this world"
"60","A7A7V8W9I0LFN",3,"id-uwffo-26","control",3,1,"A beautiful little neonatal infant carefully being bathed.","a beautiful little neonatal infant carefully being bathed"
"61","A80X2FTFDSR19",6,"id-mspuo-3000","reapp",6,1,"A beautiful new life.","a beautiful new life"
"62","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",12,8,"A bloody gruesome scene of a man who is bloodl","a bloody gruesome scene of a man who is bloodl"
"63","A21A1WG4T60KG0",8,"id-giakt-2997","reapp",8,7,"A bomb exploded destroying multiple buildings but this kid managed to survive.","a bomb exploded destroying multiple buildings but this kid managed to survive"
"64","AS2Q6X6UJD1RY",8,"id-eiwzx-3000","reapp",11,11,"A boxer gets hit by another fellow bo","a boxer gets hit by another fellow bo"
"65","A1MF859APPYTJV",2,"id-giakt-2996","reapp",19,11,"A boxer getting hit and bleeding, not too much negative response, since boxers accept this violence as part","a boxer getting hit and bleeding not too much negative response since boxers accept this violence as part"
"66","A3L7OI8IS3RRGE",12,"id-uwffo-5","reapp",4,11,"A boxer getting hit from the opponent,","a boxer getting hit from the opponent"
"67","A86NUIKRVDWDF",9,"id-eiwzx-3000","reapp",6,11,"A boxer getting pumelled","a boxer getting pumelled"
"68","A3NJ9TFD27F49J",11,"id-uwffo-3","reapp",20,11,"A boxer has just been punched in the face and the splatter from the impact is caught by","a boxer has just been punched in the face and the splatter from the impact is caught by"
"69","A3HGZDLMCKGPSE",4,"id-thggi-2996","reapp",16,11,"A boxer in a fight valiantly holding on for a chance to win","a boxer in a fight valiantly holding on for a chance to win"
"70","A1NLP66FKHBS4V",11,"id-eiwzx-2999","reapp",11,11,"A boxer in a movie","a boxer in a movie"
"71","A1MSS8RZGCLV8U",10,"id-uwffo-3","reapp",4,11,"A boxer is continuing to persever despite in","a boxer is continuing to persever despite in"
"72","AMUMZ8ZXSWTLY",8,"id-uwffo-26","control",4,11,"A boxer is taking a hit to the face. It's making him quite bloody.","a boxer is taking a hit to the face its making him quite bloody"
"73","A1R0DIJHIE1LOC",4,"id-thggi-2996","reapp",7,11,"A boxer landed a huge punch","a boxer landed a huge punch"
"74","A2A4DODAIU2VVM",7,"id-thggi-2999","reapp",18,11,"A boxer throwing a punch! He's not going to lose, you are!!","a boxer throwing a punch hes not going to lose you are"
"75","A3NJORXBXMA0IS",5,"id-thggi-3000","reapp",12,11,"A boxer/fighter just got hit","a boxerfighter just got hit"
"76","A2B9OD2O9CJNC0",6,"id-uwffo-23","control",12,11,"A boxing man with","a boxing man with"
"77","AL5ARW7V12UTW",4,"id-uwffo-17","control",16,11,"A boxing match. The guy must be hi-urting. He's down","a boxing match the guy must be hiurting hes down"
"78","A1XCE4QWZ9ZCC2",5,"id-uwffo-26","control",17,12,"A boy on fire!! Unimaginable pain!!","a boy on fire unimaginable pain"
"79","A1BYP5OP3OZUZH",3,"id-uwffo-10","reapp",8,5,"A boyfriend no doubt, and she'll probably take him back","a boyfriend no doubt and shell probably take him back"
"80","A1PQSOBBXYPY98",3,"id-uwffo-2","reapp",2,16,"A brave person searching for body of a missing man, finally discovers the body","a brave person searching for body of a missing man finally discovers the body"
"81","A1FTJ3XJZM71GI",7,"id-uwffo-12","control",17,16,"A burial of a victim. Sad to see this under any circum","a burial of a victim sad to see this under any circum"
"82","A23YZ4U8UD4J6F",6,"id-uwffo-13","control",8,19,"A car accident, i doubt anyone got out alive","a car accident i doubt anyone got out alive"
"83","A2M2U7XUBA4CAN",3,"empty","control",15,19,"A car accident. I hope no one died..","a car accident i hope no one died"
"84","A1VOXVNVQNLN02",11,"id-uwffo-13","control",10,19,"A car has accident and police officer","a car has accident and police officer"
"85","A18AXLMNQCH9FP",6,"id-giakt-2998","reapp",2,19,"A car was destroyed, but at last no one else","a car was destroyed but at last no one else"
"86","AT6LDQNLKTUSE",7,"id-thggi-2999","reapp",10,19,"A car wrecked but miraculously, no one was harmed.","a car wrecked but miraculously no one was harmed"
"87","A1NLP66FKHBS4V",11,"id-eiwzx-2999","reapp",19,8,"A character dressed for Halloween","a character dressed for halloween"
"88","A3QVY4E012ZX98",6,"id-giakt-2998","reapp",19,15,"A chemical fire or explosion, people dealing with that problem outdoo","a chemical fire or explosion people dealing with that problem outdoo"
"89","A3FAQHVPI8OUP0",8,"id-uwffo-26","control",13,7,"A child badly injured always bothers me, this looks bad","a child badly injured always bothers me this looks bad"
"90","A33B621RF790JB",3,"empty","control",19,7,"A child doesn't deserve this. They will likely be scarred for life, this is sad.","a child doesnt deserve this they will likely be scarred for life this is sad"
"91","A1VT4HJ87R2IRL",17,"id-uwffo-19","control",14,5,"A child dying during a nuclear explosion","a child dying during a nuclear explosion"
"92","A1VT4HJ87R2IRL",17,"id-uwffo-19","control",14,12,"A child dying during a nuclear explosion","a child dying during a nuclear explosion"
"93","AIEGKVQ47B3FQ",11,"id-uwffo-26","control",4,17,"A child injured and in shock is hard to see. Painful.","a child injured and in shock is hard to see painful"
"94","AIEGKVQ47B3FQ",11,"id-uwffo-26","control",4,7,"A child injured and in shock is hard to see. Painful.","a child injured and in shock is hard to see painful"
"95","A1YV31LYI26TT5",1,"id-fjoxq-266","reapp",1,1,"A child is getting bathed for the first time. It is getting clean to move on to getting healthy.","a child is getting bathed for the first time it is getting clean to move on to getting healthy"
"96","A3NJ9TFD27F49J",11,"id-uwffo-3","reapp",12,7,"A child is having medical wrapping removed from their face. They appear to have been covering rashes from some sort of disease","a child is having medical wrapping removed from their face they appear to have been covering rashes from some sort of disease"
"97","AT6LDQNLKTUSE",7,"id-thggi-2999","reapp",4,7,"A child is having their bandages removed after healing.","a child is having their bandages removed after healing"
"98","A1VNFD1E3B4RU5",2,"id-eiwzx-2997","reapp",8,7,"A child is in the hospital being healed from injuries, they are alive.","a child is in the hospital being healed from injuries they are alive"
"99","A1MSS8RZGCLV8U",10,"id-uwffo-3","reapp",5,7,"A child is receiving medical assistance after a disaster","a child is receiving medical assistance after a disaster"
"100","A3G1HG9Q8M4UI5",1,"id-fjoxq-1996","reapp",9,7,"A child lost his right eye sight, but taking care of well to keep his left eye","a child lost his right eye sight but taking care of well to keep his left eye"
"101","A1J34VHWNFN1GF",4,"id-bbyjt-2997","reapp",20,7,"A child receiving medical care to get better","a child receiving medical care to get better"
"102","AXJHKT9KSDEUF",15,"id-uwffo-22","control",13,7,"A child should not have to go through this. It is difficult to see.","a child should not have to go through this it is difficult to see"
"103","AS2Q6X6UJD1RY",8,"id-eiwzx-3000","reapp",4,7,"A child survives a deadly fire.","a child survives a deadly fire"
"104","A2OJZ0DXEMI0RE",1,"id-giakt-2997","reapp",10,7,"A child survives and feels loved","a child survives and feels loved"
"105","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",6,7,"A child that has been traumatized a great d","a child that has been traumatized a great d"
"106","AWTBENF2BL2IQ",7,"id-uwffo-5","reapp",19,1,"A child was born prematurely, but it looks like it will make a full recovery and won't have any bad problmes.","a child was born prematurely but it looks like it will make a full recovery and wont have any bad problmes"
"107","A3QVY4E012ZX98",6,"id-giakt-2998","reapp",17,7,"A child with head wrapped in bandages, don't know the reason why","a child with head wrapped in bandages dont know the reason why"
"108","A2B9OD2O9CJNC0",6,"id-uwffo-23","control",17,7,"A child with one eye affected some reason","a child with one eye affected some reason"
"109","A2B9OD2O9CJNC0",6,"id-uwffo-23","control",11,1,"A child with the diseases","a child with the diseases"
"110","A1OTGUZDNTS93L",10,"id-eiwzx-2997","reapp",3,2,"A choice was made to do drugs and this was the outcome.","a choice was made to do drugs and this was the outcome"
"111","AKTQD9Y44G495",4,"id-uwffo-26","control",2,1,"A cj","a cj"
"112","A1UZ02W2GK883U",8,"id-ngahz-3000","reapp",14,12,"A complete and utter stud! Potential superhero","a complete and utter stud potential superhero"
"113","A3AHNZ6DVVMZSK",2,"id-uwffo-3","reapp",18,15,"A controlled fire","a controlled fire"
"114","A2OJZ0DXEMI0RE",1,"id-giakt-2997","reapp",11,3,"A cool album cover.  A band that's about to be famous.","a cool album cover a band thats about to be famous"
"115","A32TLMERU7C6ST",6,"id-uwffo-22","control",10,18,"A couple deadend kids playing in an industrial area. Dirty but probably by choice. Sad though.","a couple deadend kids playing in an industrial area dirty but probably by choice sad though"
"116","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",16,18,"A couple of unfortunate young boys who look to be","a couple of unfortunate young boys who look to be"
"117","A86NUIKRVDWDF",9,"id-eiwzx-3000","reapp",10,9,"A coward pointing a gun, hiding in the darkness","a coward pointing a gun hiding in the darkness"
"118","AKRD60WVX2YBH",8,"id-mspuo-3000","reapp",8,19,"A crash accident, maybe it is a firefighters drill.","a crash accident maybe it is a firefighters drill"
"119","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",15,11,"A cyclist cycling in fire","a cyclist cycling in fire"
"120","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",15,12,"A cyclist cycling in fire","a cyclist cycling in fire"
"121","A1MSS8RZGCLV8U",10,"id-uwffo-3","reapp",8,12,"A cyclist is escaping a massive fire","a cyclist is escaping a massive fire"
"122","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",19,20,"A dangerous accident in freeway","a dangerous accident in freeway"
"123","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",19,19,"A dangerous accident in freeway","a dangerous accident in freeway"
"124","A21A1WG4T60KG0",8,"id-giakt-2997","reapp",5,12,"A dangerous stunt and although he looks hurt h","a dangerous stunt and although he looks hurt h"
"125","A2M2U7XUBA4CAN",3,"empty","control",9,12,"A daredevil flowing through fire. Shocking.","a daredevil flowing through fire shocking"
"126","A2TGHPIJ98QSKJ",10,"id-thggi-2997","reapp",5,12,"A daredevil performing a stunt.","a daredevil performing a stunt"
"127","A1T6HER891K5B7",10,"id-uwffo-23","control",6,17,"A dead body caused by someone else bloody","a dead body caused by someone else bloody"
"128","A3NJ9TFD27F49J",11,"id-uwffo-3","reapp",14,17,"A dead man on a road with the back of his head broken open all ofver the ground. Dogs are interested.","a dead man on a road with the back of his head broken open all ofver the ground dogs are interested"
"129","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",10,16,"A dead person being buried to cover","a dead person being buried to cover"
"130","A14PFRHG0A2YY9",5,"id-eiwzx-2997","reapp",18,16,"A descent burial is","a descent burial is"
"131","A2A4DODAIU2VVM",7,"id-thggi-2999","reapp",17,1,"A dirty newborn baby getting a bath!","a dirty newborn baby getting a bath"
"132","A2BABL5AHUOYC7",1,"id-uwffo-3","reapp",8,10,"A disagreement between two people turning really ugly","a disagreement between two people turning really ugly"
"133","A1T6HER891K5B7",10,"id-uwffo-23","control",5,15,"A disaster with fire as destroying eleme","a disaster with fire as destroying eleme"
"134","ANYWEZX3D8VYK",5,"id-thggi-2998","reapp",10,7,"A doctor or nurse is able to heal and save this child.","a doctor or nurse is able to heal and save this child"
"135","A1PQSOBBXYPY98",3,"id-uwffo-2","reapp",19,17,"A dramatic scene, but ultimately he was found and identified after death","a dramatic scene but ultimately he was found and identified after death"
"136","A86NUIKRVDWDF",9,"id-eiwzx-3000","reapp",11,2,"A drug addict after using","a drug addict after using"
"137","A27Q0UIHM7A310",8,"id-uwffo-15","control",2,2,"A drug addict shooting up. I pity him but not as much","a drug addict shooting up i pity him but not as much"
"138","A3AU8PZ6HHBCVT",5,"id-fjoxq-2997","reapp",19,17,"A drug addict struck by a car","a drug addict struck by a car"
"139","A2BO5R5TWEXCT5",8,"id-bvwuk-3000","reapp",19,2,"A drug addict, at teh bottom of the barrel.  But he has dec","a drug addict at teh bottom of the barrel but he has dec"
"140","A3FPQWLLOBU9DH",7,"id-uwffo-1","reapp",13,16,"A family member providing a respectful burial","a family member providing a respectful burial"
"141","A1J34VHWNFN1GF",4,"id-bbyjt-2997","reapp",2,10,"A female who needs emotional help being forced, whi","a female who needs emotional help being forced whi"
"142","A31XUQFSE7CCZX",3,"empty","reapp",20,11,"A fight always produces this effect on both winner and looser","a fight always produces this effect on both winner and looser"
"143","A1T6HER891K5B7",10,"id-uwffo-23","control",1,10,"A fight or flight reaction due to harm","a fight or flight reaction due to harm"
"144","A2TGHPIJ98QSKJ",10,"id-thggi-2997","reapp",20,11,"A fight scene in a movie","a fight scene in a movie"
"145","AUB1EZFAPP81P",3,"id-giakt-2998","reapp",3,10,"A fight that got out of","a fight that got out of"
"146","AC9Y3YIKN3Z6A",5,"id-thggi-2998","reapp",6,15,"A fire going on, maybe in california.","a fire going on maybe in california"
"147","A1VOXVNVQNLN02",11,"id-uwffo-13","control",3,20,"A fire man helping a some persion","a fire man helping a some persion"
"148","A1REJE4H1KLBXY",1,"id-eiwzx-2996","reapp",11,15,"A fire of this magnitude is devastating - don't see any homes/people in the backgro","a fire of this magnitude is devastating dont see any homespeople in the backgro"
"149","A2M2U7XUBA4CAN",3,"empty","control",6,15,"A fire out of control. Looks scary and hot","a fire out of control looks scary and hot"
"150","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",6,4,"A firefighter rescuing a girl","a firefighter rescuing a girl"
"151","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",6,20,"A firefighter rescuing a girl","a firefighter rescuing a girl"
"152","A2IJEKMVEHQ90W",8,"id-eiwzx-2997","reapp",19,20,"A firefighter saving a woman from a burning building.","a firefighter saving a woman from a burning building"
"153","A5YRC4QT53JRO",7,"id-uwffo-11","reapp",8,15,"A firefighting training exercise","a firefighting training exercise"
"154","A34KBIYMGPH924",4,"id-bvwuk-2997","reapp",4,20,"A fireman is saving this woman. She was likely dead but they have given her","a fireman is saving this woman she was likely dead but they have given her"
"155","A5YRC4QT53JRO",7,"id-uwffo-11","reapp",15,16,"A friend buring his friend.  Looking ou","a friend buring his friend looking ou"
"156","A2M9END41TCKSB",1,"id-ngahz-2997","reapp",2,16,"A friend giving their friend a proper burial","a friend giving their friend a proper burial"
"157","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",13,12,"A frightening scene of someone who is likely to die by fire.","a frightening scene of someone who is likely to die by fire"
"158","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",9,9,"A frightening scene to be looking down the barrel of a gun pointed at you","a frightening scene to be looking down the barrel of a gun pointed at you"
"159","A1MSS8RZGCLV8U",10,"id-uwffo-3","reapp",2,4,"A gentleman is feeling remorse for his past actions","a gentleman is feeling remorse for his past actions"
"160","A2BO5R5TWEXCT5",8,"id-bvwuk-3000","reapp",2,10,"A girl getting held back from a fight. possibly getting saved.","a girl getting held back from a fight possibly getting saved"
"161","AKRD60WVX2YBH",8,"id-mspuo-3000","reapp",18,20,"A girl is being rescued by fightfirers. May it is a move scene.","a girl is being rescued by fightfirers may it is a move scene"
"162","A80X2FTFDSR19",6,"id-mspuo-3000","reapp",10,4,"A god doctor can help this man.","a god doctor can help this man"
"163","A1SFYD3UCP3IBD",7,"id-eiwzx-3000","reapp",14,11,"A good boxing movie to watch. They make the blood look","a good boxing movie to watch they make the blood look"
"164","A1SFYD3UCP3IBD",7,"id-eiwzx-3000","reapp",11,9,"A good movie poster for an indie film.","a good movie poster for an indie film"
"165","A2ZW029G7AOF3B",9,"id-fjoxq-2997","reapp",18,16,"A grave digger getting to work","a grave digger getting to work"
"166","AT6LDQNLKTUSE",7,"id-thggi-2999","reapp",2,14,"A group of people are feeling relief after getting off the plane safely.","a group of people are feeling relief after getting off the plane safely"
"167","A3QVY4E012ZX98",6,"id-giakt-2998","reapp",9,14,"A group of people walking away after a plane crash","a group of people walking away after a plane crash"
"168","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",19,13,"A gruesome scene of someone who had","a gruesome scene of someone who had"
"169","A7A7V8W9I0LFN",3,"id-uwffo-26","control",8,16,"A guy being buried alive. How horrific","a guy being buried alive how horrific"
"170","A1R0DIJHIE1LOC",4,"id-thggi-2996","reapp",3,12,"A guy is riding his bike thru fire as a stunt","a guy is riding his bike thru fire as a stunt"
"171","A36PAA8GSL785A",5,"id-thggi-3000","reapp",6,3,"A guy trying to escape from bondage","a guy trying to escape from bondage"
"172","A74WSJU2N2I0U",4,"id-bbyjt-2997","reapp",14,2,"A guy who finally decided to quit drugs","a guy who finally decided to quit drugs"
"173","AS2Q6X6UJD1RY",8,"id-eiwzx-3000","reapp",19,9,"A hand model takes a picture pointing a gun.","a hand model takes a picture pointing a gun"
"174","A36PAA8GSL785A",5,"id-thggi-3000","reapp",7,19,"A hard crash. I hope the driver is alive.","a hard crash i hope the driver is alive"
"175","A2TXUNEHPTW3Z3",9,"id-eiwzx-2997","reapp",2,1,"A healthy baby has been born, it was looking like it wouldn't happen, but the baby is alive and that's all that matters.","a healthy baby has been born it was looking like it wouldnt happen but the baby is alive and thats all that matters"
"176","A3FPQWLLOBU9DH",7,"id-uwffo-1","reapp",15,19,"A heroic rescue team was able to rescue all people from the car successfully","a heroic rescue team was able to rescue all people from the car successfully"
"177","A29PSUCGB85FT6",5,"id-ngahz-2998","reapp",9,4,"A hope this person gets help it looks like a very bad eye infection","a hope this person gets help it looks like a very bad eye infection"
"178","AIEGKVQ47B3FQ",11,"id-uwffo-26","control",6,12,"A horific crash, probably loss of life.  Hard for responders to s","a horific crash probably loss of life hard for responders to s"
"179","AIEGKVQ47B3FQ",11,"id-uwffo-26","control",6,19,"A horific crash, probably loss of life.  Hard for responders to s","a horific crash probably loss of life hard for responders to s"
"180","A2IJEKMVEHQ90W",8,"id-eiwzx-2997","reapp",9,19,"A horrible accident on the highway.Someone is checking the wrackage","a horrible accident on the highwaysomeone is checking the wrackage"
"181","ALAOEYIYW0CW7",8,"id-eiwzx-3000","reapp",16,19,"A horrible car crash on a street, hopefully they survived the crash","a horrible car crash on a street hopefully they survived the crash"
"182","A1FWHWZONTCAEN",4,"id-uwffo-24","control",9,12,"A horrible car wreck. This is something I fear daily.","a horrible car wreck this is something i fear daily"
"183","A1FWHWZONTCAEN",4,"id-uwffo-24","control",9,19,"A horrible car wreck. This is something I fear daily.","a horrible car wreck this is something i fear daily"
"184","A3EWJYRDOMV47I",3,"id-uwffo-22","control",3,8,"A horrible wound seems to have been inflicted on someone. Not sure if it was on the man ? ...","a horrible wound seems to have been inflicted on someone not sure if it was on the man"
"185","A2WNPDFT4YTJJG",7,"id-uwffo-18","control",4,14,"A horrific plane accident. Many victi","a horrific plane accident many victi"
"186","A2UR8ZKKO51K5N",1,"id-ngahz-190","reapp",12,20,"A humurous image","a humurous image"
"187","A2UR8ZKKO51K5N",1,"id-ngahz-190","reapp",12,9,"A humurous image","a humurous image"
"188","A2UR8ZKKO51K5N",1,"id-ngahz-190","reapp",20,16,"A humurous image","a humurous image"
"189","A2UR8ZKKO51K5N",1,"id-ngahz-190","reapp",20,18,"A humurous image","a humurous image"
"190","A2UR8ZKKO51K5N",1,"id-ngahz-190","reapp",9,12,"A humurous image likey","a humurous image likey"
"191","A2UR8ZKKO51K5N",1,"id-ngahz-190","reapp",9,13,"A humurous image likey","a humurous image likey"
"192","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",1,9,"A kid cryinh out pain and bandages of wound","a kid cryinh out pain and bandages of wound"
"193","A3HB6EFZJ6IXBG",3,"id-uwffo-2","reapp",1,7,"A kid cryinh out pain and bandages of wound","a kid cryinh out pain and bandages of wound"
"194","A2XQVNF7ZABUQZ",7,"id-eiwzx-3000","reapp",6,7,"A kid getting a wound fixed","a kid getting a wound fixed"
"195","AKRD60WVX2YBH",8,"id-mspuo-3000","reapp",5,7,"A kid ogt injured in a war. Maybe he just got out from a surgery.","a kid ogt injured in a war maybe he just got out from a surgery"
"196","A2NR6DBUEXC3Y4",9,"id-uwffo-26","control",8,9,"A kid with a loaded gun very scary what he will do. int","a kid with a loaded gun very scary what he will do int"
