,sub_id,groupID,studyID,subgrp,group_cond,grp_goal,grp_method,trial,img,txt,clean_text
29,A1J9VZ372FV2QZ,id-zrcsw-2999-1,id-zrcsw-2999,control,target,motivated,observing,13,1,A baby delivered in few months before of the correct,a baby delivered in few months before of the correct
30,A37NKPQ62561GJ,id-uwffo-4-4,id-uwffo-4,control,control,non_motivated,observing,2,1,A baby had a decease.,a baby had a decease
31,A2XHMQDSLY32V,id-uwffo-12-2,id-uwffo-12,treatment,reapp_target,motivated,reappraisal,17,1,A baby has just been born and is being washed of amniotic fluid in a plastic basin to be cleaned,a baby has just been born and is being washed of amniotic fluid in a plastic basin to be cleaned
32,A5Q0UTSKAI2TQ,id-ngahz-2999-10,id-ngahz-2999,treatment,reapp,non_motivated,reappraisal,7,7,A baby has survived and is healthy and is being bathed.,a baby has survived and is healthy and is being bathed
33,A5Q0UTSKAI2TQ,id-ngahz-2999-10,id-ngahz-2999,treatment,reapp,non_motivated,reappraisal,7,1,A baby has survived and is healthy and is being bathed.,a baby has survived and is healthy and is being bathed
34,ASXDFSEXJNPXM,id-uwffo-12-2,id-uwffo-12,control,reapp_target,motivated,reappraisal,17,1,A baby in a lot of pain this is a horrific image its very hard to look at.,a baby in a lot of pain this is a horrific image its very hard to look at
35,A2HVCKK8NOTFD0,id-fjoxq-2996-1,id-fjoxq-2996,treatment,reapp,non_motivated,reappraisal,11,1,A baby in distress but it look like the baby is getting medical attention.,a baby in distress but it look like the baby is getting medical attention
36,A2JZTR2ZSALGH4,id-fjoxq-2999-6,id-fjoxq-2999,treatment,target,motivated,observing,14,1,"A baby is being taken care of, treated well.",a baby is being taken care of treated well
37,A206MIGUB7AZKQ,id-uwffo-17-6,id-uwffo-17,treatment,target,motivated,observing,8,1,A baby is born!,a baby is born
38,A23G1L7KYHK9F2,id-bvwuk-2998-8,id-bvwuk-2998,treatment,target,motivated,observing,20,1,"A baby is born. He's so tiny, but he's alive. A new life is born.",a baby is born hes so tiny but hes alive a new life is born
39,AI2YUH8YOKJIQ,id-uwffo-23-8,id-uwffo-23,control,target,motivated,observing,17,1,A baby is getting one of it's first bathes. It looks tired yawning,a baby is getting one of its first bathes it looks tired yawning
40,A747P92XNGD4W,id-uwffo-14-4,id-uwffo-14,treatment,reapp,non_motivated,reappraisal,7,14,A baby is getting the medical help he needs for his injuries.,a baby is getting the medical help he needs for his injuries
41,A747P92XNGD4W,id-uwffo-14-4,id-uwffo-14,treatment,reapp,non_motivated,reappraisal,7,7,A baby is getting the medical help he needs for his injuries.,a baby is getting the medical help he needs for his injuries
42,AXIH9BMJRJ70N,id-eiwzx-2997-3,id-eiwzx-2997,control,target,motivated,observing,6,1,"A baby just born, likely premature but they should be ok with the help from doctors",a baby just born likely premature but they should be ok with the help from doctors
43,AMOBC1D09Q381,id-rppnn-2999-6,id-rppnn-2999,control,reapp,non_motivated,reappraisal,17,1,A baby just born. It makes me happy.,a baby just born it makes me happy
44,A28NLJEQ0C7F4T,id-mspuo-2999-7,id-mspuo-2999,treatment,target,motivated,observing,20,1,A baby learning to swim,a baby learning to swim
45,A16335MOISDG1F,id-eiwzx-2998-7,id-eiwzx-2998,treatment,reapp,non_motivated,reappraisal,8,1,A baby lucky to survive is being bathed.,a baby lucky to survive is being bathed
46,A1PRZC0JL283H7,id-uwffo-4-5,id-uwffo-4,control,control,non_motivated,observing,17,1,A baby was bathing the tub,a baby was bathing the tub
47,A49WTQG4MBT9Z,id-eiwzx-2998-2,id-eiwzx-2998,control,reapp_target,motivated,reappraisal,19,1,A baby was birthed and is in need of some care.,a baby was birthed and is in need of some care
48,A9YN0N476F6PR,id-uwffo-10-7,id-uwffo-10,control,target,motivated,observing,20,1,A baby was born prematurely I hope its okay.,a baby was born prematurely i hope its okay
49,A32623JOGFVDDI,id-uwffo-9-1,id-uwffo-9,treatment,target,motivated,observing,5,1,A baby was just born. This is a miracle that such a small human is alive.,a baby was just born this is a miracle that such a small human is alive
50,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,15,7,A baby was saved,a baby was saved
51,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,15,1,A baby was saved,a baby was saved
52,A3C3RFCM98G87E,id-zrcsw-3000-9,id-zrcsw-3000,control,reapp_target,motivated,reappraisal,20,7,A baby who is getting their bandages taken off,a baby who is getting their bandages taken off
53,A1N8TKTLXV92QR,id-bvwuk-2998-7,id-bvwuk-2998,control,reapp,non_motivated,reappraisal,18,19,A bad accident and I'm sure there were injuries.,a bad accident and im sure there were injuries
54,A2HVCKK8NOTFD0,id-fjoxq-2996-1,id-fjoxq-2996,treatment,reapp,non_motivated,reappraisal,5,17,A bad accident but nobody else was hurt.  It could have been worse.,a bad accident but nobody else was hurt it could have been worse
55,A1RQUOVV8PCXBM,id-uwffo-9-6,id-uwffo-9,control,reapp_target,motivated,reappraisal,12,5,"A bad accident happened, someone must have gotten hurt pretty badly",a bad accident happened someone must have gotten hurt pretty badly
56,A1RQUOVV8PCXBM,id-uwffo-9-6,id-uwffo-9,control,reapp_target,motivated,reappraisal,12,19,"A bad accident happened, someone must have gotten hurt pretty badly",a bad accident happened someone must have gotten hurt pretty badly
57,A2EED3HLTA96CP,20220203-motivated_group_emotional_regulation-8,20220203-motivated_group_emotional_regulation,control,control,non_motivated,observing,15,19,"A bad accident is very unfortunate for all. Fear, pain.",a bad accident is very unfortunate for all fear pain
58,AD3V6XGQWRD6E,id-bvwuk-2997-6,id-bvwuk-2997,control,target,motivated,observing,14,19,A bad accident. I wonder if everyone was okay.,a bad accident i wonder if everyone was okay
59,A3ECUII3KH098M,id-eiwzx-2999-5,id-eiwzx-2999,treatment,target,motivated,observing,16,19,A bad car accident hopefully there were survivors,a bad car accident hopefully there were survivors
60,AVEAR5UH1DP8C,id-uwffo-11-2,id-uwffo-11,treatment,reapp_target,motivated,reappraisal,14,19,A bad car accident.  Glad everyone survived.,a bad car accident glad everyone survived
61,A2HVCKK8NOTFD0,id-fjoxq-2996-1,id-fjoxq-2996,treatment,reapp,non_motivated,reappraisal,10,19,A bad car accident.  Maybe the first responders were able to save the victims.,a bad car accident maybe the first responders were able to save the victims
62,ASK6BGTYY8SV1,id-fjoxq-2999-5,id-fjoxq-2999,treatment,target,motivated,observing,16,14,A bad crash but looks like a lot of people survived,a bad crash but looks like a lot of people survived
63,A2H8PEGI28NKZD,id-rppnn-2999-8,id-rppnn-2999,control,reapp,non_motivated,reappraisal,8,8,A bad fight.  I hope he's ok.,a bad fight i hope hes ok
64,A3EYRDEQ7CXUMN,id-rppnn-3000-7,id-rppnn-3000,control,control,non_motivated,observing,16,20,A bad fires with being hurt and being pulled out. Scary.,a bad fires with being hurt and being pulled out scary
65,AKHKMEPXX1YZ9,id-eiwzx-2997-1,id-eiwzx-2997,control,control,non_motivated,observing,15,11,"A bad knockout. How painful. Still, he agreed to the fight. Very brutal.",a bad knockout how painful still he agreed to the fight very brutal
66,A1MAJKG546YES5,id-ngahz-3000-5,id-ngahz-3000,control,reapp,non_motivated,reappraisal,16,5,"A bad night, hope they catch the guy",a bad night hope they catch the guy
67,AFIGBLVTNGBVA,id-zrcsw-3000-13,id-zrcsw-3000,control,reapp,non_motivated,reappraisal,13,14,A bad plane crash but at least it looks as though many survived!,a bad plane crash but at least it looks as though many survived
68,A2HVCKK8NOTFD0,id-fjoxq-2996-1,id-fjoxq-2996,treatment,reapp,non_motivated,reappraisal,17,14,A bad plane crash but at least there are survivors walking away from the crash.,a bad plane crash but at least there are survivors walking away from the crash
69,A1YDQJXMEUVSY7,id-rppnn-2998-7,id-rppnn-2998,control,target,motivated,observing,18,14,A bad plane crash makes me feel sad.,a bad plane crash makes me feel sad
70,A1N53V41FMCR7Q,id-eiwzx-2999-3,id-eiwzx-2999,treatment,target,motivated,observing,10,7,"A badly injured child, looks like from war or accident",a badly injured child looks like from war or accident
71,A3CYCTJA0RZFR8,id-eiwzx-2999-12,id-eiwzx-2999,control,control,non_motivated,observing,20,12,"A ball of fire, either this is an amazing stunt or has gone horribly wrong. A lit",a ball of fire either this is an amazing stunt or has gone horribly wrong a lit
72,A1FELEZ6PQK2E6,id-bvwuk-2999-4,id-bvwuk-2999,treatment,reapp_target,motivated,reappraisal,19,7,A bandaged child having his bandages removed to see his progress.,a bandaged child having his bandages removed to see his progress
73,A1T6QVMIXF74FF,id-thggi-3000-2,id-thggi-3000,control,reapp_target,motivated,reappraisal,15,8,A bar fight isn't something I'd react to negatively.,a bar fight isnt something id react to negatively
74,A2BEH9YQPHKP6A,id-uwffo-5-8,id-uwffo-5,control,control,non_motivated,observing,3,5,"A battered woman, her life must be miserable",a battered woman her life must be miserable
75,A36UNYMDBED99W,id-thggi-3000-1,id-thggi-3000,control,control,non_motivated,observing,9,5,A battered woman. Angry that she had to experience it.,a battered woman angry that she had to experience it
76,A2VNSNAN1LZBAM,id-bvwuk-2998-3,id-bvwuk-2998,treatment,target,motivated,observing,7,5,A beating victim. Hope she gets help.,a beating victim hope she gets help
77,A3KRY1Q0WZXPRI,id-ngahz-2998-4,id-ngahz-2998,treatment,reapp_target,motivated,reappraisal,5,1,A beautiful miracle. Science is amazing.,a beautiful miracle science is amazing
78,A39BIGZ0L59WLV,id-uwffo-13-5,id-uwffo-13,treatment,target,motivated,observing,7,1,A beautiful moment of a child entering the world.,a beautiful moment of a child entering the world
79,A1FELEZ6PQK2E6,id-bvwuk-2999-4,id-bvwuk-2999,treatment,reapp_target,motivated,reappraisal,1,1,A beautiful new life is being calmed and cleaned.  What a beautiful b,a beautiful new life is being calmed and cleaned what a beautiful b
80,A1PRZC0JL283H7,id-uwffo-4-5,id-uwffo-4,control,control,non_motivated,observing,16,14,A big Aeroplane accident,a big aeroplane accident
81,A38KU4MKJZ7V4Q,empty-48,empty,control,reapp_target,motivated,reappraisal,7,10,"A big fear of mine,  kidnapping can only have bad outcomes",a big fear of mine kidnapping can only have bad outcomes
82,A1PRZC0JL283H7,id-uwffo-4-5,id-uwffo-4,control,control,non_motivated,observing,7,15,A big fire accident,a big fire accident
83,A1A5W8B8YYNKSI,id-uwffo-6-1,id-uwffo-6,control,control,non_motivated,observing,17,15,A big fire accident,a big fire accident
84,A3C3RFCM98G87E,id-zrcsw-3000-9,id-zrcsw-3000,control,reapp_target,motivated,reappraisal,1,12,A biker completing a stunt,a biker completing a stunt
85,A1RNVZBA9YT76K,20220203-motivated_group_emotional_regulation-9,20220203-motivated_group_emotional_regulation,control,reapp,non_motivated,reappraisal,15,5,A bit of pity for what may have happened to her. But she will be ok it seems.,a bit of pity for what may have happened to her but she will be ok it seems
86,A2LRHL10WJC06D,id-rppnn-2999-4,id-rppnn-2999,control,control,non_motivated,observing,2,5,"A bit sad that she's hurt, otherwise nothing really without knowing what happened",a bit sad that shes hurt otherwise nothing really without knowing what happened
87,A3MK4HB1UCOXS6,id-uwffo-25-12,id-uwffo-25,control,control,non_motivated,observing,16,5,A black eye. Painful. Was she attacked? DV?,a black eye painful was she attacked dv
88,A38KU4MKJZ7V4Q,empty-48,empty,control,reapp_target,motivated,reappraisal,3,11,A blood filled scene but displayed in movies often and,a blood filled scene but displayed in movies often and
89,A2HVCKK8NOTFD0,id-fjoxq-2996-1,id-fjoxq-2996,treatment,reapp,non_motivated,reappraisal,8,8,A bloodied man.  This could have been caused by anything.,a bloodied man this could have been caused by anything
90,AERUGBNS48Z4N,id-eiwzx-2997-12,id-eiwzx-2997,control,reapp_target,motivated,reappraisal,12,8,"A bloody accident, shocking and nasty. Pretty gross and makes you wonder.",a bloody accident shocking and nasty pretty gross and makes you wonder
91,ASXDFSEXJNPXM,id-uwffo-12-2,id-uwffo-12,control,reapp_target,motivated,reappraisal,15,8,A bloody man he looks like hes been injured hopefully he is okay.,a bloody man he looks like hes been injured hopefully he is okay
92,A39MO8EQO830XU,id-uwffo-20-11,id-uwffo-20,control,target,motivated,observing,2,16,A body being buried!? OmG,a body being buried omg
93,A37SLQRKOALNV6,id-zrcsw-3000-13,id-zrcsw-3000,treatment,reapp,non_motivated,reappraisal,9,16,A body in a grave being exhumed - maybe a movie segt or scene.,a body in a grave being exhumed maybe a movie segt or scene
94,A3T9WZOUQGE2UW,id-rppnn-3000-4,id-rppnn-3000,control,control,non_motivated,observing,19,16,A body is being buried.  I do not know if they are dead or alive.,a body is being buried i do not know if they are dead or alive
95,A3KQEVMEPXAIZY,id-uwffo-10-8,id-uwffo-10,control,target,motivated,observing,3,13,"A bone through the lip looks painful, but it may be his culture.",a bone through the lip looks painful but it may be his culture
96,A2WMSIPUKEIBNS,id-eiwzx-2997-12,id-eiwzx-2997,treatment,reapp_target,motivated,reappraisal,16,11,A boxer after a match. Got beat up pretty badly.,a boxer after a match got beat up pretty badly
97,A2XZ0DVCW1MBXS,id-ngahz-3000-5,id-ngahz-3000,treatment,reapp,non_motivated,reappraisal,16,15,A boxer after winning her fight,a boxer after winning her fight
98,A2XZ0DVCW1MBXS,id-ngahz-3000-5,id-ngahz-3000,treatment,reapp,non_motivated,reappraisal,16,5,A boxer after winning her fight,a boxer after winning her fight
99,A1GCFHCYNPDH81,id-uwffo-2-11,id-uwffo-2,control,reapp,non_motivated,reappraisal,12,11,A boxer getting a hard hit. Brutal and tough to look at.,a boxer getting a hard hit brutal and tough to look at
100,AOSO1D81K0ET0,id-bvwuk-3000-1,id-bvwuk-3000,control,control,non_motivated,observing,18,11,A boxer getting beaten pretty bad. His choice.,a boxer getting beaten pretty bad his choice
101,A17PXVJLPXYCKR,id-uwffo-12-1,id-uwffo-12,control,reapp,non_motivated,reappraisal,7,11,A boxer getting knocked out by a punch,a boxer getting knocked out by a punch
102,AB7ZGKRL87OZ1,id-fjoxq-3000-6,id-fjoxq-3000,control,reapp,non_motivated,reappraisal,19,11,A boxer goes through so much for their sport,a boxer goes through so much for their sport
103,A1LTLWLFZUM1A8,id-thggi-2998-7,id-thggi-2998,control,target,motivated,observing,13,11,A boxer having a difficult time in a match,a boxer having a difficult time in a match
104,A1RATFICCKLCQ,id-fjoxq-3000-1,id-fjoxq-3000,control,reapp,non_motivated,reappraisal,16,11,A boxer in the ring getting pummeled. Looks pretty bad and pa,a boxer in the ring getting pummeled looks pretty bad and pa
105,A1SJRFJWFXSDH4,id-bvwuk-2999-4,id-bvwuk-2999,control,reapp_target,motivated,reappraisal,10,11,A boxer is losing a fight with his opponent. He looks like he's gone unconscious,a boxer is losing a fight with his opponent he looks like hes gone unconscious
106,A9YN0N476F6PR,id-uwffo-10-7,id-uwffo-10,control,target,motivated,observing,15,11,A boxer is losing his fight,a boxer is losing his fight
107,AVHCKUAE3WDZM,id-fjoxq-2999-1,id-fjoxq-2999,control,target,motivated,observing,7,11,A boxer is punched. He is bloody. It looks like it's from a movie.,a boxer is punched he is bloody it looks like its from a movie
108,A1FELEZ6PQK2E6,id-bvwuk-2999-4,id-bvwuk-2999,treatment,reapp_target,motivated,reappraisal,10,11,A boxer receiving a blow to the face.  Part of his job. He earns money to do this.,a boxer receiving a blow to the face part of his job he earns money to do this
109,AZZA3J049G7R5,id-uwffo-14-6,id-uwffo-14,treatment,reapp_target,motivated,reappraisal,20,11,A boxer that is fighting for huge amount of money. He's rich.,a boxer that is fighting for huge amount of money hes rich
110,A2FGKKWP33DFWS,id-rppnn-3000-1,id-rppnn-3000,control,target,motivated,observing,2,11,A boxer who has taken a bad beating-such a savage sport.,a boxer who has taken a bad beatingsuch a savage sport
111,A3C3RFCM98G87E,id-zrcsw-3000-9,id-zrcsw-3000,control,reapp_target,motivated,reappraisal,4,11,A boxer who took it too far and is now injured,a boxer who took it too far and is now injured
112,A1DZDAR6J7N3HH,id-thggi-2998-4,id-thggi-2998,treatment,reapp,non_motivated,reappraisal,12,11,A boxer.  He is hurting.,a boxer he is hurting
113,A37NKPQ62561GJ,id-uwffo-4-4,id-uwffo-4,control,control,non_motivated,observing,14,11,A boxing is shown on the image. This is good.,a boxing is shown on the image this is good
114,A3SZ67J9O55NZ6,id-uwffo-16-6,id-uwffo-16,control,control,non_motivated,observing,20,11,"A boxing match maybe a scene from a movie? Can't tell, a blow to the head hurts.",a boxing match maybe a scene from a movie cant tell a blow to the head hurts
115,A1PJ1R0S0PEEEE,id-zrcsw-2997-7,id-zrcsw-2997,treatment,reapp_target,motivated,reappraisal,20,11,A boxing match was aggressive but he won in the end,a boxing match was aggressive but he won in the end
116,AIEKCWYZTS41V,id-rppnn-2998-7,id-rppnn-2998,control,target,motivated,observing,14,11,A boxing match where someone is being hit hard. Dude is getting wrecked.,a boxing match where someone is being hit hard dude is getting wrecked
117,A3F8RIZ9BJ8RWP,id-eiwzx-2998-7,id-eiwzx-2998,control,reapp,non_motivated,reappraisal,15,11,A boxing match with two consenting men,a boxing match with two consenting men
118,A1154EZYFNAZUS,id-uwffo-18-10,id-uwffo-18,control,reapp,non_motivated,reappraisal,14,11,"A boxing match, but this guy is getting hurt.",a boxing match but this guy is getting hurt
119,AH7JBX10X0EET,id-fjoxq-2999-3,id-fjoxq-2999,treatment,reapp,non_motivated,reappraisal,5,11,A boxing match...wow,a boxing matchwow
120,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,18,1,A boy  was in service,a boy was in service
121,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,18,16,A boy  was in service,a boy was in service
122,A37NKPQ62561GJ,id-uwffo-4-4,id-uwffo-4,control,control,non_motivated,observing,1,9,A boy had a gun,a boy had a gun
123,AX1THMSZH9Y8O,id-uwffo-11-4,id-uwffo-11,treatment,reapp,non_motivated,reappraisal,20,13,A boy looks like he's in a lot of pain with this piercing and waiting to heal.,a boy looks like hes in a lot of pain with this piercing and waiting to heal
124,A1FELEZ6PQK2E6,id-bvwuk-2999-4,id-bvwuk-2999,treatment,reapp_target,motivated,reappraisal,3,9,A boy practicing target practice.  Nice new gun.  He is proud.,a boy practicing target practice nice new gun he is proud
125,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,1,12,A boy safi,a boy safi
126,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,1,10,A boy safi,a boy safi
127,A37NKPQ62561GJ,id-uwffo-4-4,id-uwffo-4,control,control,non_motivated,observing,12,6,A boy smoked a cigarette with in face blood.,a boy smoked a cigarette with in face blood
128,A37NKPQ62561GJ,id-uwffo-4-4,id-uwffo-4,control,control,non_motivated,observing,4,13,A boy tounge is damaged by some thing,a boy tounge is damaged by some thing
129,A1A5W8B8YYNKSI,id-uwffo-6-1,id-uwffo-6,control,control,non_motivated,observing,9,3,A boy was attack on someone,a boy was attack on someone
130,A25GC0CJO1NNDZ,id-uwffo-15-7,id-uwffo-15,control,control,non_motivated,observing,9,17,A boy was died,a boy was died
131,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,12,3,A boy was excited with something,a boy was excited with something
132,A842P87NB4KIS,id-uwffo-18-9,id-uwffo-18,treatment,reapp,non_motivated,reappraisal,12,3,A boy was excited with something,a boy was excited with something
133,A1A5W8B8YYNKSI,id-uwffo-6-1,id-uwffo-6,control,control,non_motivated,observing,7,9,A boy was shoot the gun to pose,a boy was shoot the gun to pose
134,A1A5W8B8YYNKSI,id-uwffo-6-1,id-uwffo-6,control,control,non_motivated,observing,4,13,A boy was wood in that mouth,a boy was wood in that mouth
135,AOSO1D81K0ET0,id-bvwuk-3000-1,id-bvwuk-3000,control,control,non_motivated,observing,9,10,A brawl. Probably too much to drink.,a brawl probably too much to drink
136,A2XZ0DVCW1MBXS,id-ngahz-3000-5,id-ngahz-3000,treatment,reapp,non_motivated,reappraisal,13,14,A brother a sister playing with each other on a trip,a brother a sister playing with each other on a trip
137,A2XZ0DVCW1MBXS,id-ngahz-3000-5,id-ngahz-3000,treatment,reapp,non_motivated,reappraisal,13,10,A brother a sister playing with each other on a trip,a brother a sister playing with each other on a trip
138,A1WIFU6K17Q9VZ,empty-49,empty,control,control,non_motivated,observing,14,11,"A brutal beating in the ring, but he signed up for it. I don't get why anyone would.",a brutal beating in the ring but he signed up for it i dont get why anyone would
139,A31Y2UA2LPDSWZ,id-uwffo-9-1,id-uwffo-9,treatment,target,motivated,observing,7,18,A burial is sad but he's being given last rites as best the situation allows.,a burial is sad but hes being given last rites as best the situation allows
140,A31Y2UA2LPDSWZ,id-uwffo-9-1,id-uwffo-9,treatment,target,motivated,observing,7,16,A burial is sad but he's being given last rites as best the situation allows.,a burial is sad but hes being given last rites as best the situation allows
141,A3MK4HB1UCOXS6,id-uwffo-25-12,id-uwffo-25,control,control,non_motivated,observing,15,7,A burn victim maybe? A small child with an injury,a burn victim maybe a small child with an injury
142,AZHAEAUN4XD7J,id-uwffo-23-8,id-uwffo-23,control,target,motivated,observing,14,11,"A capture of a boxer being punched. Very bloody, I can feel the impact.",a capture of a boxer being punched very bloody i can feel the impact
143,A324VBRLXHG5IB,id-uwffo-23-7,id-uwffo-23,treatment,reapp_target,motivated,reappraisal,15,19,"A car accident that looks bad, but no ambulances to show injury or worse.",a car accident that looks bad but no ambulances to show injury or worse
144,A39O4J8O2IGQYR,id-zrcsw-2997-8,id-zrcsw-2997,treatment,reapp,non_motivated,reappraisal,1,19,A car accident where there are live people who did not get ur,a car accident where there are live people who did not get ur
145,A1NIKHUA79SWGD,id-mspuo-3000-3,id-mspuo-3000,treatment,reapp_target,motivated,reappraisal,1,19,A car crash alone isn't indicative of fatalities. People could have survived it.,a car crash alone isnt indicative of fatalities people could have survived it
146,A38I0E8UK53ME5,id-ngahz-2999-10,id-ngahz-2999,control,reapp,non_motivated,reappraisal,5,19,A car crash scene. I really hope everyone was okay.,a car crash scene i really hope everyone was okay
147,AXIH9BMJRJ70N,id-eiwzx-2997-3,id-eiwzx-2997,control,target,motivated,observing,3,19,"A car crash. I feel sad, I hope everyone is ok",a car crash i feel sad i hope everyone is ok
148,A3CAF7LTD3ORSG,id-zrcsw-2998-6,id-zrcsw-2998,control,reapp,non_motivated,reappraisal,10,7,A car crush on the road with first responders at the s,a car crush on the road with first responders at the s
149,A3CAF7LTD3ORSG,id-zrcsw-2998-6,id-zrcsw-2998,control,reapp,non_motivated,reappraisal,10,19,A car crush on the road with first responders at the s,a car crush on the road with first responders at the s
150,A1A5W8B8YYNKSI,id-uwffo-6-1,id-uwffo-6,control,control,non_motivated,observing,14,19,A car was accident in highway,a car was accident in highway
151,AI2YUH8YOKJIQ,id-uwffo-23-8,id-uwffo-23,control,target,motivated,observing,4,19,A car was in a really bad accident and someone was hurt.,a car was in a really bad accident and someone was hurt
152,AX1THMSZH9Y8O,id-uwffo-11-4,id-uwffo-11,treatment,reapp,non_motivated,reappraisal,16,19,A car wreak on the road after the driver has been taken to the hospital,a car wreak on the road after the driver has been taken to the hospital
